Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C10, C11, C12, C14, C15, C3, C5, C6, C8, C9",0402,10,0.1uF,
"C16, C17",0402,2,33pF,
C18,0603,1,220nF,C21120
C4,0402,1,1uF,
"D1, D13, D2, D3",0603,4,LED,
"D10, D11, D12, D4, D5, D6, D7, D8, D9",0805,18,LED,
"D22, D23, D24, D25, D26, D27, D28, D29, D30",0805,18,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
L1,25X48MM_NFC_ANTENNA,1,25X48MM_NFC_ANTENNA,
"R1, R2",0402,2,5.1K,
"R10, R9",0402,2,100,
R11,0402,1,470,
"R12, R13, R14, R15, R16, R17, R18, R19, R20",0805,9,330,
R21,0402,1,100,
"R3, R5",0402,2,10K,
"R30, R31, R32, R33, R34, R35, R36, R37, R38",0805,9,1k,
"R4, R8",0402,2,1K,
"R6, R7",0402,2,27,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
"SW2, SW3",SW_SPST_SKQG_WithoutStem,2,SW_Push,
U1,SOT-23,1,MCP1700x-330xxTT,
U2,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,C710403
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
